Date;Destination;Debetor;Creditor;Sell;Cost
2022-06-02;Spring Hill - Almaty;DHK;BCL;3450;2700
2022-06-03;Columbia Canada - Vilnius;LZ;Marine;3670;3000
2022-06-04;Germany Kircheimbolanden - Vilnius;Varov;Astra;2700;2300
2022-06-04;Zebrugge Belgium - Vilnius;Acur;Marine;2200;1900
2022-06-09;Turkey Erzurum - Podolsk;Print;Obaglob;10500;9500
2022-06-10;Viga Spain - Vilnius; Jane;Sirami;5200;4850
2022-06-11;Vilnius - Chukusay UZ;LZ;BVL;7200;6700
2022-06-12;Zruc Czech - Vilnius;Genad;Agma;1900;1600
2022-06-13;Norway Lillerstiom - Vilnius;Print;Balttr;2400;2000
2022-06-14;Ringe Denmark -Vilnius;Jane;Spark;1600;1300
2022-06-18;Yerakini GR -Vilnius;LZ;Balkan;5700;5000
2022-06-20;Yivieska Finland-Vilnius;Varov;Spark;1950;1750
2022-06-22;Spain Tineo -Vilnius;Marbus;Axi;600;400
2022-06-23;Arzogano Italy - Vilnius;Jane;Axi;3800;3500
2022-06-27;Castelon de la Plana - Vilnius;Print;Axi;3950;4200
2022-06-28;Voronezh-Vilnius;LZ;BVL;3300;3000
2022-06-29;Vilnius-Helsinki;Varov;Gevar;700;450
2022-06-29;Pikalevo -Vilnius;Acur;Marine;3500;3300
2022-06-29;Nea Pieria Grece -Vilnius;Genad;Balkan;5200;4900
2022-06-29;Trakai -Voronezh;Print;Marine;5900;5500
2020-06-30;Santa Vittoria Italy - Zelenograd;Print;Axi;12600;11500
2020-06-30;San Mauro Pascoli Italy - Trakai;DHK;Axi;4500;4000
